season,round_num,event_name,country,location,event_date,session_one,session_two,session_three,session_four,session_five
2023,0,Pre-Season Testing,Bahrain,Sakhir,2023-02-23,Practice 1,Practice 2,Practice 3,None,None
2023,1,Bahrain Grand Prix,Bahrain,Sakhir,2023-03-03,Practice 1,Practice 2,Practice 3,Qualifying,Race
2023,2,Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2023-03-17,Practice 1,Practice 2,Practice 3,Qualifying,Race
2023,3,Australian Grand Prix,Australia,Melbourne,2023-03-31,Practice 1,Practice 2,Practice 3,Qualifying,Race
2023,4,Azerbaijan Grand Prix,Azerbaijan,Baku,2023-04-28,Practice 1,Qualifying,Sprint Shootout,Sprint,Race
2023,5,Miami Grand Prix,United States,Miami,2023-05-05,Practice 1,Practice 2,Practice 3,Qualifying,Race
2023,6,Monaco Grand Prix,Monaco,Monaco,2023-05-26,Practice 1,Practice 2,Practice 3,Qualifying,Race
2023,7,Spanish Grand Prix,Spain,Barcelona,2023-06-02,Practice 1,Practice 2,Practice 3,Qualifying,Race
2023,8,Canadian Grand Prix,Canada,Montréal,2023-06-16,Practice 1,Practice 2,Practice 3,Qualifying,Race
2023,9,Austrian Grand Prix,Austria,Spielberg,2023-06-30,Practice 1,Qualifying,Sprint Shootout,Sprint,Race
2023,10,British Grand Prix,Great Britain,Silverstone,2023-07-07,Practice 1,Practice 2,Practice 3,Qualifying,Race
2023,11,Hungarian Grand Prix,Hungary,Budapest,2023-07-21,Practice 1,Practice 2,Practice 3,Qualifying,Race
2023,12,Belgian Grand Prix,Belgium,Spa-Francorchamps,2023-07-28,Practice 1,Qualifying,Sprint Shootout,Sprint,Race
2023,13,Dutch Grand Prix,Netherlands,Zandvoort,2023-08-25,Practice 1,Practice 2,Practice 3,Qualifying,Race
2023,14,Italian Grand Prix,Italy,Monza,2023-09-01,Practice 1,Practice 2,Practice 3,Qualifying,Race
2023,15,Singapore Grand Prix,Singapore,Marina Bay,2023-09-15,Practice 1,Practice 2,Practice 3,Qualifying,Race
2023,16,Japanese Grand Prix,Japan,Suzuka,2023-09-22,Practice 1,Practice 2,Practice 3,Qualifying,Race
2023,17,Qatar Grand Prix,Qatar,Lusail,2023-10-06,Practice 1,Qualifying,Sprint Shootout,Sprint,Race
