season,Position,TeamName,Points
1991,1,McLaren,139.0
1991,2,Williams,125.0
1991,3,Ferrari,55.0
1991,4,Benetton,34.5
1991,5,Jordan,17.0
1991,6,Tyrrell,12.0
1991,7,Minardi,6.5
1991,8,Dallara,5.0
1991,9,Brabham,3.0
1991,10,Team Lotus,3.0
1991,11,Larrousse,2.0
1991,12,Leyton House,1.0
1991,13,Lambo,0.0
1991,14,AGS,0.0
1991,15,Footwork,0.0
1991,16,Ligier,0.0
1991,17,Fondmetal,0.0
1992,1,Williams,164.0
1992,2,McLaren,99.0
1992,3,Benetton,91.0
1992,4,Ferrari,21.0
1992,5,Team Lotus,13.0
1992,6,Tyrrell,8.0
1992,7,Footwork,6.0
1992,8,Ligier,6.0
1992,9,March,3.0
1992,10,Dallara,2.0
1992,11,Minardi,1.0
1992,12,Larrousse,1.0
1992,13,Jordan,1.0
1992,14,Brabham,0.0
1992,15,Fondmetal,0.0
1992,16,Andrea Moda,0.0
1993,1,Williams,168.0
1993,2,McLaren,84.0
1993,3,Benetton,72.0
1993,4,Ferrari,28.0
1993,5,Ligier,23.0
1993,6,Team Lotus,12.0
1993,7,Sauber,12.0
1993,8,Minardi,7.0
1993,9,Footwork,4.0
1993,10,Jordan,3.0
1993,11,Larrousse,3.0
1993,12,Lola,0.0
1993,13,Tyrrell,0.0
1994,1,Williams,118.0
1994,2,Benetton,103.0
1994,3,Ferrari,71.0
1994,4,McLaren,42.0
1994,5,Jordan,29.0
1994,6,Ligier,13.0
1994,7,Tyrrell,13.0
1994,8,Sauber,11.0
1994,9,Footwork,9.0
1994,10,Minardi,5.0
1994,11,Larrousse,2.0
1994,12,Team Lotus,0.0
1994,13,Simtek,0.0
1994,14,Pacific,0.0
1995,1,Benetton,147.0
1995,2,Williams,118.0
1995,3,Ferrari,73.0
1995,4,McLaren,30.0
1995,5,Ligier,24.0
1995,6,Jordan,21.0
1995,7,Sauber,18.0
1995,8,Tyrrell,5.0
1995,9,Footwork,5.0
1995,10,Minardi,1.0
1995,11,Pacific,0.0
1995,12,Forti,0.0
1995,13,Simtek,0.0
1996,1,Williams,175.0
1996,2,Ferrari,70.0
1996,3,Benetton,68.0
1996,4,McLaren,49.0
1996,5,Jordan,22.0
1996,6,Ligier,15.0
1996,7,Sauber,11.0
1996,8,Tyrrell,5.0
1996,9,Footwork,1.0
1996,10,Minardi,0.0
1996,11,Forti,0.0
1997,1,Williams,123.0
1997,2,Ferrari,102.0
1997,3,Benetton,67.0
1997,4,McLaren,63.0
1997,5,Jordan,33.0
1997,6,Prost,18.0
1997,7,Sauber,16.0
1997,8,Arrows,9.0
1997,9,Stewart,6.0
1997,10,Minardi,3.0
1997,11,Tyrrell,2.0
1997,12,Lola,0.0
